manufactor,Year,model,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
אופל,2016,אסטרה,2,אוטומטית,1400,בנזין,פרטית,פרטית,באר שבע והסביבה,באר שבע,24000.0,4,2024-03-16,2024-03-16,"רכב שמור מאוד,נהגת יחידה,מוטימדיה,בקרת שיוט,רכב נעים ונוח מאוד.בהזדמנות עקב מעבר לחול בחודש הבא",אפור מטאלי,141000,
אופל,2014,אסטרה,3,אוטומטית,1400,בנזין,פרטית,פרטית,בית שמש והסביבה,בית שמש,18000.0,4,2024-12-05,2024-12-05,"לאוהבי המציאות!!! אופל אסטרה ברלינה אוטו שמור חזק ונוח עם 140 כ""ס וק""מ נמוך מאוד. שימש את ההורים בעיקר לסידורים בעיר. גמיש במעמד המכירה",חום מטאלי,75000,79
אופל,2015,קורסה,2,אוטומטית,1400,בנזין,ליסינג,פרטית,,עין מאהל,15000.0,5,2024-05-22,2024-05-22,"אוטו שמור מאוד וחיסכוני. עבר טיפול חזק לפני שבוע 175,000 ק״מ 🔥 יד 02 🔥 טסט עד 23/6 מחיר מחירון 22,000 מחיר נדרש 15,000 🔥🔥",אפור מטאלי,175000,
אופל,2016,אסטרה,2,אוטומטית,1400,דיזל,השכרה,פרטית,ירושלים והסביבה,ירושלים,20000.0,2,2024-03-24,2024-03-24,"רכב נקי באיכות גרמנית! הכול עובד כמו חדש, טסט לשנה, מצבר חדש, צמיגים חדשים, מנוע חדש, נקי ומטופל, מערכת מולטימדיה שליטה מההגה, עבר טיפול כללי ומסור עד הבורג.",אפור מטאלי,231000,291
אופל,2013,אסטרה,2,אוטומטית,1400,בנזין,ליסינג,פרטית,נס ציונה - רחובות,מזכרת בתיה,22000.0,5,2023-12-12,2023-12-12,רכב במצב מצויין שמור מאוד לאחר טיפול. מער' מולטימדיה כולל מצלמה התחייבות לבדיקה!!!,אפור מטאלי,145000,109
אופל,2016,מוקה,1,אוטומטית,1400,בנזין,אחר,פרטית,רעננה - כפר סבא,צור יצחק,43000.0,3,2023-12-17,2023-12-17,"אוטומטי, 5 דלתות, בנזין, 140 כ?ס, 4x2, נפח מנוע 1.4 טורבו. מטופלת באופן קבוע ובזמן חלון גג נפתח, הארכה של מושב הנהג",חום מטאלי,251000,
אופל,2017,אסטרה,1,אוטומטית,1400,בנזין,השכרה,פרטית,ירושלים והסביבה,ירושלים,29000.0,4,2023-11-29,2023-11-29,הרכב מצב מעולה מכני נראה טוב הכל חדיש קצת שריטות ללא תאונות מטופל בזמן מערכת שמע מקורית הריפודים מצב חדש פג'ז ענק גללים חדשים עקב בעיה חשלמית באוטו יש גמישות במחיר,כחול כהה מטאלי,149000,48
אופל,2015,אסטרה,3,אוטומטית,1400,בנזין,פרטית,פרטית,גליל ועמקים,צפת,20000.0,4,2023-06-10,2023-06-10,"רכב במצב מכאני מצוין, נוח מאוד, שמור ומטופל בזמן! מערכת מולטימדיה, מצלמת רוורס וחיישני רוורס.",שחור,169000,
אופל,2015,מוקה,2,אוטומטית,1400,בנזין,פרטית,פרטית,גליל ועמקים,שפרעם,35.0,8,2024-03-20,2024-03-20,"⚜ רכב אלעלאא שפרעם ⚜ ◽ סוג : אופל מוקה ◽ שנת : 2015 ◽ מנוע : 1400 ◽ יד : 02 פרטי ◽ ק""מ : 173,170 ◽ רכב חדש חדש ◽ אפשרות מימון 100% 👈 רכבים שומרים מאוד מתחייבים בבדיקה ...👌 ********************************************* נייד : 0525050520 /0508948223 טל : 04-9585522 whahtsApp : 050-894-8223 מיקום : רכב אלעלאא שפרעם חדש",לבן,173177,109
אופל,2013,אסטרה,3,אוטומטית,1400,בנזין,פרטית,פרטית,קריות,קריות,9500.0,5,2023-06-09,2023-06-09,"אופל ברלינה, מנוע טורבו לפרטים טכנים חייגו",אפור מטאלי,178999,
אופל,2014,אסטרה,3,אוטומטית,2100,דיזל,פרטית,פרטית,חולון - בת ים,בת ים,25000.0,2,2023-08-28,2023-08-28,שמורה היטב ללא תאונות דיזל חסכונית,לבן,190000,
אופל,2015,אסטרה,3,אוטומטית,1400,בנזין,פרטית,פרטית,באר שבע והסביבה,קרית גת,30000.0,5,2023-04-15,2023-04-15,"אופל אסטרה Enjoy 1.4 למכירה. 155,000 ק״מ יד 03 מודל 2015 טסט עד 11/23 טיפולים בזמן במוסך מורשה של אופל בלבד! ללא שום בעיות, רכב אמין ונוח מאוד מתאים לכלל הגילים. הרכב נשטף ידנית מידי שבוע. מחיר נדרש : 30,000₪ רועי - 052-343-0160",לבן,155000,
אופל,2011,אינסיגניה,4,אוטומטית,2000,בנזין,השכרה,פרטית,באר שבע והסביבה,מיתר,7000.0,3,2023-04-30,2023-04-30,"טסט עד 20.8.31 מצב מצוין חסר טורבו צמיגים בולמים מטופלת טוב,",לבן,216000,
אופל,2015,מריבה,2,אוטומטית,1500,בנזין,פרטית,פרטית,רמת גן - גבעתיים,בני ברק,35000.0,1,2022-09-11,2022-09-11,אוטו שמור מאוד עבר טסט לפני חודש מרווח נוסע חלק ללא בעיות נמכר עקב קבלה רכב מהעבודה,לבן,78000,
אופל,2015,אדם,1,רובוטית,1400,בנזין,פרטית,פרטית,גליל ועמקים,נצרת,35000.0,1,2022-10-29,2022-10-29,"אופל אדם למכירה שנת 2015 מנוע 1400 רובוטית, דגם unlimited מאובזרת מאד מערכת מולטימדיה הכוללת אפל קארפליי/אנדרואיד אוטו מצלמת רוורס קילומטרז' 95000 יד ראשונה מהחברה רכב מדהים ביופיו שמור ברמה גבוהה מוכר עקב קבלת רכב מהעבודה מחירון משוקלל לוי יצחק 35,500 ש״ח … גמיש לפרטים:0503535335 עזמי",שחור,95000,
